Argentina,Austria,Belgium,Bolivia,Brazil,Canada,Chile,France,Germany,Japan,Mexico,Netherlands
293,462,12,393,254,648,7,7,385,2,820,12
287,431,10,441,278,590,7,7,387,2,782,15
256,486,15,588,287,668,7,7,429,2,731,14
269,463,16,585,285,740,7,6,490,2,809,15
239,529,18,384,262,832,6,8,602,2,957,21
188,564,30,355,283,933,6,11,717,2,1070,27
175,739,55,388,288,1274,8,21,865,2,1165,27
191,756,70,420,256,1379,5,45,872,3,1160,28
180,840,80,401,250,1465,4,50,861,4,1183,30
171,796,80,439,239,1340,5,56,1039,6,1255,30
162,820,70,467,252,1513,4,55,1016,9,1198,24
171,806,95,414,244,1504,4,68,1061,13,1236,28
174,712,62,345,236,1628,5,57,978,22,1329,28
165,749,90,329,238,1717,4,77,1110,34,1423,31
152,807,97,337,219,1896,3,77,1111,65,1429,29
149,825,122,319,241,1972,3,76,1166,98,1516,35
144,882,151,318,222,1911,2,92,1156,131,1514,34
123,897,154,318,196,1949,2,109,1064,225,1527,38
108,1010,127,286,184,2156,2,125,1113,281,1717,42
96,1052,98,261,173,2390,3,181,1163,338,1718,37
91,1025,124,242,178,2883,2,253,1132,401,1854,44
78,1241,156,229,186,3058,3,330,1297,246,1649,51
93,1395,210,232,182,2728,2,339,1267,283,1948,61
89,1638,177,239,172,2474,2,457,1131,351,2907,60
93,1750,187,248,173,2494,2,402,1121,426,2579,62
89,1660,179,225,168,2668,1,424,1179,498,2218,69
89,1512,175,213,177,2826,2,406,1461,402,1924,80
91,1234,251,207,192,2786,2,298,1599,292,1691,82
97,1117,293,236,193,3010,2,211,1594,234,1699,89
98,1015,275,299,221,3080,2,103,1366,182,1615,69
92,897,215,340,234,3052,2,66,1142,141,1524,52
126,849,154,341,237,2808,2,36,1053,99,1380,42
151,810,118,383,247,2520,4,35,885,64,1203,35
145,817,96,412,272,2469,5,38,860,34,1165,39
150,867,81,490,288,2365,6,33,762,19,1091,36
161,842,75,387,284,2202,6,26,734,14,1054,34
174,773,66,406,296,1874,13,23,708,15,1001,31
188,711,69,429,291,1679,27,16,751,12,1006,28
173,650,52,409,287,1419,45,9,664,11,905,22
186,645,51,376,318,1179,49,7,585,7,880,18
197,564,31,396,334,1089,41,6,464,6,851,14
210,539,32,430,337,1002,25,6,465,5,849,15
217,517,24,349,361,805,11,7,425,4,849,15
266,525,27,365,315,688,10,8,392,4,790,16
343,569,26,370,305,642,8,8,410,3,757,15
381,592,23,375,317,757,10,9,444,3,717,17
411,538,19,360,317,665,8,5,439,2,703,17
372,520,18,370,300,615,7,4,433,2,681,16
371,506,14,321,278,520,8,6,433,2,681,13
319,522,12,290,269,491,8,6,436,2,712,14
